iter	RMSE
346	1.675575558
347	1.669878478
348	1.661537545
349	1.655435523
350	1.649351432
351	1.644751101
352	1.638791861
353	1.631651452
354	1.625508961
355	1.619703422
356	1.615388542
357	1.609980944
358	1.605703025
359	1.603298777
360	1.602443445
361	1.596394158
362	1.58807942
363	1.58222739
364	1.577331692
365	1.574220885
366	1.56519868
367	1.558999571
368	1.553338614
369	1.548639234
370	1.542451965
371	1.536497687
372	1.532188634
373	1.527889608
374	1.526017955
375	1.51991524
376	1.516862583
377	1.512049915
378	1.510305722
379	1.507351815
380	1.503111521
381	1.501183153
382	1.497390028
383	1.49338149
384	1.4914375
385	1.488211375
386	1.4856039
387	1.482835465
388	1.482158337
389	1.47940363
390	1.47380163
391	1.470566946
392	1.468882449
393	1.462185926
394	1.460662379
395	1.458384856
396	1.455777968
397	1.453718817
398	1.449317001
399	1.446835662
